Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
24,Rarely,Human Resources,21,2,Technical Degree,1,Female,4,Human Resources,3,Divorced,14778,2,No,22,2,4,1,30,0,2,16,9,14,16,No
39,Rarely,Sales,1,3,Life Sciences,2,Male,5,Research Scientist,4,Divorced,14807,1,Yes,19,1,3,0,10,3,3,24,10,3,11,Yes
31,Rarely,Human Resources,17,1,Other,2,Female,3,Research Scientist,4,Married,16474,4,No,13,1,2,2,26,0,2,8,4,14,15,Yes
26,Frequently,Human Resources,15,1,Marketing,2,Female,2,Sales Executive,1,Divorced,5896,0,Yes,14,3,1,0,32,3,4,31,16,11,9,No
20,Rarely,Research & Development,25,2,Technical Degree,2,Female,4,Manager,3,Married,2528,7,No,18,4,3,0,14,5,2,15,11,9,16,No
58,Rarely,Research & Development,10,3,Other,1,Female,5,Human Resources,2,Divorced,9766,5,No,14,1,2,1,20,0,4,26,6,14,14,No
20,Frequently,Sales,10,3,Other,4,Female,5,Research Scientist,4,Divorced,8141,9,No,10,3,3,0,33,5,1,26,3,11,17,No
35,Frequently,Sales,25,1,Technical Degree,4,Female,2,Sales Executive,1,Single,8127,0,Yes,23,1,2,2,8,5,4,17,18,10,10,No
46,Rarely,Human Resources,2,2,Life Sciences,1,Male,2,Human Resources,4,Married,4773,1,Yes,20,2,4,0,33,1,2,2,12,4,14,Yes
25,Rarely,Human Resources,26,1,Technical Degree,1,Female,5,Research Scientist,3,Divorced,10495,7,No,23,2,4,1,33,1,2,16,14,10,7,No
54,Rarely,Human Resources,25,4,Marketing,1,Female,2,Laboratory Technician,1,Divorced,9799,0,Yes,23,4,4,2,10,0,1,4,12,2,17,No
25,Frequently,Sales,23,1,Life Sciences,3,Male,2,Manager,4,Married,19405,7,Yes,11,2,2,0,8,2,4,25,8,12,19,No
27,Frequently,Sales,27,2,Medical,2,Male,4,Sales Executive,4,Single,6769,0,Yes,13,3,4,1,32,2,2,29,18,10,4,No
50,Frequently,Sales,22,2,Other,3,Male,4,Research Scientist,4,Married,4249,4,Yes,12,1,1,1,3,3,4,26,8,12,8,No
21,Non-Travel,Sales,25,2,Other,1,Female,5,Laboratory Technician,3,Single,16940,0,No,22,2,4,2,21,2,2,16,2,2,15,No
41,Non-Travel,Research & Development,9,4,Other,1,Female,4,Research Scientist,2,Divorced,11003,1,Yes,16,3,3,1,21,3,1,24,11,11,15,Yes
49,Frequently,Human Resources,22,4,Marketing,3,Male,3,Laboratory Technician,1,Single,12079,9,Yes,22,1,4,0,18,3,1,3,11,3,11,No
28,Rarely,Sales,28,2,Life Sciences,2,Male,2,Laboratory Technician,3,Divorced,15834,6,Yes,23,4,1,1,36,5,2,30,8,3,16,No
30,Frequently,Research & Development,5,3,Medical,4,Female,1,Sales Executive,3,Divorced,4212,9,No,24,3,3,1,33,1,4,5,14,10,2,No
51,Non-Travel,Sales,5,3,Medical,3,Female,5,Laboratory Technician,1,Single,10386,1,No,14,3,4,0,27,3,1,19,3,0,5,No
28,Rarely,Sales,9,3,Technical Degree,1,Female,3,Research Scientist,1,Single,9275,3,No,17,4,4,1,26,2,2,29,4,4,12,No
48,Rarely,Sales,28,1,Marketing,2,Female,2,Sales Executive,2,Married,11119,8,No,17,3,1,0,8,2,4,3,5,11,5,No
58,Rarely,Sales,11,4,Other,1,Female,2,Manager,2,Divorced,7123,9,No,16,3,2,1,39,2,2,5,1,7,0,Yes
42,Non-Travel,Human Resources,18,3,Medical,2,Male,2,Manager,4,Divorced,10412,7,Yes,17,2,1,2,10,1,2,10,4,14,4,No
51,Non-Travel,Sales,8,2,Life Sciences,3,Female,4,Sales Executive,2,Married,11273,0,No,12,4,4,2,1,0,1,31,17,10,8,Yes
50,Frequently,Sales,7,4,Other,1,Female,3,Manager,1,Married,5908,6,Yes,21,1,4,2,5,0,3,18,8,11,2,Yes
50,Frequently,Human Resources,14,2,Life Sciences,3,Male,4,Manager,4,Single,3944,4,No,11,3,4,0,18,0,1,13,14,0,6,No
37,Frequently,Sales,24,1,Technical Degree,3,Female,4,Research Scientist,2,Divorced,10369,8,Yes,11,1,3,1,39,4,3,29,5,8,8,No
58,Non-Travel,Sales,29,4,Medical,3,Male,2,Human Resources,4,Married,9685,0,No,13,4,4,0,30,2,2,17,19,5,3,No
35,Rarely,Human Resources,3,4,Other,3,Female,5,Human Resources,2,Divorced,8342,2,No,13,4,4,2,11,4,2,1,14,10,10,No
29,Frequently,Sales,11,1,Other,2,Female,5,Laboratory Technician,2,Married,11956,1,No,22,4,2,2,29,4,3,7,11,3,19,Yes
56,Frequently,Research & Development,22,2,Marketing,2,Female,1,Human Resources,1,Divorced,9699,3,Yes,23,3,3,1,39,0,3,28,2,0,9,No
20,Non-Travel,Sales,9,1,Technical Degree,2,Male,3,Human Resources,2,Divorced,17361,2,No,12,4,2,1,14,3,3,29,11,4,9,No
45,Frequently,Sales,21,4,Technical Degree,4,Male,2,Laboratory Technician,4,Single,8393,5,Yes,24,2,4,2,29,0,3,33,0,11,17,Yes
42,Non-Travel,Sales,27,3,Other,1,Male,4,Laboratory Technician,1,Single,16210,2,No,19,1,2,1,22,2,1,27,13,0,9,No
34,Non-Travel,Human Resources,9,3,Medical,1,Female,3,Research Scientist,1,Married,6316,7,Yes,11,1,1,0,0,2,1,32,10,1,19,No
58,Frequently,Sales,8,3,Other,4,Male,1,Sales Executive,2,Married,5310,9,Yes,23,3,2,0,18,5,3,30,1,5,14,No
30,Frequently,Human Resources,5,3,Marketing,3,Male,2,Laboratory Technician,2,Married,18545,5,Yes,22,1,2,2,38,3,1,3,10,6,12,No
46,Rarely,Research & Development,19,2,Technical Degree,2,Male,1,Manager,3,Divorced,7017,3,Yes,15,1,4,2,12,2,4,24,17,10,8,Yes
52,Frequently,Human Resources,17,3,Technical Degree,2,Male,1,Laboratory Technician,1,Divorced,19748,1,Yes,17,4,2,0,33,4,1,14,16,4,2,No
37,Frequently,Research & Development,18,2,Marketing,4,Female,4,Sales Executive,3,Divorced,12123,3,No,13,2,1,1,2,1,2,22,4,11,1,No
49,Frequently,Sales,21,4,Marketing,3,Female,2,Manager,3,Married,11254,2,Yes,11,3,2,1,35,5,3,14,17,6,2,No
37,Non-Travel,Human Resources,9,4,Other,1,Male,5,Research Scientist,4,Divorced,4546,1,Yes,24,2,3,0,2,0,4,3,6,10,1,No
46,Rarely,Research & Development,19,1,Marketing,2,Male,3,Human Resources,3,Divorced,17308,9,No,13,3,3,1,22,3,2,32,5,11,15,No
48,Non-Travel,Research & Development,28,2,Other,4,Male,5,Manager,3,Divorced,3953,0,No,16,1,2,0,11,1,2,8,9,12,11,No
36,Frequently,Human Resources,29,2,Life Sciences,1,Female,5,Manager,3,Married,19483,6,No,23,1,1,0,2,4,4,1,15,0,19,No
30,Frequently,Sales,6,1,Life Sciences,2,Female,4,Laboratory Technician,2,Single,2629,1,Yes,16,1,1,1,6,4,3,2,5,13,19,No
19,Non-Travel,Research & Development,18,1,Medical,2,Female,1,Laboratory Technician,2,Married,12548,7,No,14,3,3,0,25,4,3,19,9,0,1,No
48,Non-Travel,Research & Development,5,2,Other,3,Male,3,Human Resources,4,Single,5190,8,No,12,3,2,0,13,0,2,19,5,6,17,No
43,Non-Travel,Sales,2,4,Life Sciences,4,Male,3,Laboratory Technician,1,Married,12844,0,No,18,4,1,0,38,4,3,10,18,2,6,No
26,Frequently,Sales,22,3,Medical,2,Male,3,Sales Executive,3,Married,19288,1,Yes,20,1,4,2,25,1,3,32,16,0,17,Yes
51,Frequently,Sales,12,2,Medical,3,Female,4,Human Resources,1,Divorced,1774,2,Yes,14,3,3,1,6,0,1,29,9,4,13,No
25,Frequently,Research & Development,21,1,Life Sciences,2,Male,4,Laboratory Technician,3,Married,6246,5,No,11,4,2,1,3,2,4,5,7,1,1,No
58,Rarely,Sales,5,1,Other,3,Female,2,Research Scientist,2,Single,4573,0,Yes,16,2,4,1,34,1,3,33,5,12,15,No
52,Rarely,Human Resources,26,3,Medical,4,Female,4,Sales Executive,1,Divorced,6990,5,Yes,21,2,3,1,33,3,4,30,13,4,14,No
40,Non-Travel,Human Resources,10,4,Technical Degree,4,Female,2,Laboratory Technician,3,Single,19151,3,Yes,12,4,2,2,35,4,4,27,15,10,0,No
24,Rarely,Human Resources,3,4,Medical,2,Female,3,Human Resources,4,Single,11723,7,No,16,4,3,2,12,4,2,20,13,5,6,No
19,Frequently,Sales,23,2,Marketing,4,Female,3,Research Scientist,2,Divorced,19438,4,Yes,15,3,2,2,23,2,2,27,10,4,5,No
21,Non-Travel,Research & Development,26,3,Technical Degree,1,Female,5,Research Scientist,4,Divorced,18534,5,Yes,24,3,3,2,26,2,4,2,1,14,13,No
31,Rarely,Research & Development,4,2,Technical Degree,2,Male,4,Manager,2,Single,15071,5,No,22,2,1,0,39,4,1,12,17,12,12,No
41,Rarely,Human Resources,15,2,Other,3,Female,4,Research Scientist,1,Single,18441,4,Yes,16,2,4,1,22,1,2,31,17,2,5,No
43,Non-Travel,Research & Development,23,2,Other,3,Female,1,Sales Executive,2,Divorced,17759,6,Yes,16,3,1,2,10,5,1,34,3,11,1,No
51,Rarely,Sales,8,4,Technical Degree,1,Female,2,Manager,3,Divorced,16333,9,Yes,16,3,3,1,29,1,3,12,3,6,9,No
23,Non-Travel,Research & Development,17,4,Life Sciences,3,Male,4,Human Resources,2,Divorced,12395,5,Yes,13,1,1,2,19,2,2,8,14,11,2,No
43,Non-Travel,Research & Development,26,4,Life Sciences,3,Female,5,Research Scientist,1,Divorced,4845,2,No,11,1,4,2,2,4,4,32,11,14,16,No
29,Rarely,Human Resources,26,3,Other,1,Male,2,Sales Executive,2,Married,11348,8,No,12,2,2,1,20,5,3,16,15,14,14,No
56,Frequently,Research & Development,21,3,Marketing,3,Male,5,Sales Executive,2,Single,7618,9,No,10,1,2,2,0,1,1,26,11,1,12,No
40,Frequently,Sales,28,2,Technical Degree,2,Female,3,Laboratory Technician,4,Married,17935,0,Yes,24,3,4,1,23,3,3,19,5,6,12,No
18,Frequently,Sales,15,3,Marketing,1,Female,3,Human Resources,2,Divorced,11431,3,Yes,16,1,1,2,21,1,3,19,12,3,12,No
26,Rarely,Human Resources,3,2,Life Sciences,2,Female,5,Laboratory Technician,2,Divorced,10820,9,No,11,1,1,0,3,0,4,11,18,6,19,No
22,Non-Travel,Sales,15,4,Medical,1,Male,5,Sales Executive,2,Divorced,1038,4,No,10,4,1,1,12,1,3,0,14,9,11,No
25,Rarely,Sales,25,3,Marketing,2,Male,5,Laboratory Technician,1,Divorced,17070,0,Yes,22,2,2,1,39,1,4,16,15,0,16,No
19,Rarely,Sales,25,4,Technical Degree,4,Male,1,Laboratory Technician,1,Divorced,12120,2,Yes,19,1,4,2,25,5,2,31,5,11,0,No
19,Frequently,Human Resources,23,3,Technical Degree,3,Male,5,Sales Executive,1,Divorced,16183,2,Yes,24,2,3,1,29,3,4,0,13,11,0,No
41,Frequently,Sales,13,3,Life Sciences,4,Female,4,Manager,4,Divorced,8662,0,No,22,4,4,0,19,2,3,20,12,7,16,No
40,Rarely,Research & Development,1,4,Life Sciences,2,Female,2,Research Scientist,3,Divorced,11757,2,Yes,24,2,4,0,12,3,4,34,0,13,14,No
23,Non-Travel,Research & Development,22,1,Other,1,Male,4,Research Scientist,4,Divorced,19944,4,Yes,24,1,2,0,2,3,2,12,8,9,17,No
41,Non-Travel,Sales,17,3,Marketing,2,Female,4,Laboratory Technician,3,Divorced,10305,5,Yes,20,1,3,2,6,0,1,21,12,13,17,No
22,Rarely,Sales,22,4,Other,3,Female,2,Sales Executive,1,Single,14227,2,Yes,17,4,3,0,37,1,2,28,13,2,17,No
45,Frequently,Research & Development,3,1,Other,4,Female,3,Human Resources,3,Divorced,3612,7,Yes,13,4,1,1,17,0,1,22,0,11,12,No
53,Frequently,Sales,19,2,Life Sciences,4,Male,2,Human Resources,3,Married,6441,1,No,16,4,2,2,14,3,2,29,10,11,10,Yes
18,Rarely,Human Resources,25,2,Other,3,Male,5,Research Scientist,4,Married,14794,1,No,10,3,3,1,16,0,4,18,16,0,13,No
44,Rarely,Research & Development,12,1,Medical,4,Male,5,Research Scientist,3,Divorced,17225,8,No,19,4,4,2,19,1,3,24,14,9,9,No
52,Non-Travel,Human Resources,1,1,Medical,1,Male,3,Human Resources,2,Single,16329,1,No,11,3,2,0,8,5,1,32,2,8,2,Yes
18,Non-Travel,Sales,20,1,Marketing,2,Female,1,Manager,4,Single,9389,2,Yes,24,1,2,0,36,1,1,19,12,2,2,No
43,Rarely,Human Resources,5,4,Technical Degree,1,Female,4,Manager,3,Married,8017,8,Yes,13,4,4,1,12,5,1,23,10,9,4,No
37,Rarely,Research & Development,27,2,Medical,2,Female,3,Research Scientist,4,Single,11384,9,No,11,1,2,0,30,5,3,6,19,10,12,No
31,Rarely,Research & Development,16,2,Other,3,Male,4,Research Scientist,4,Single,9261,0,Yes,21,3,1,2,38,4,4,12,2,5,9,No
34,Non-Travel,Sales,24,4,Other,3,Female,3,Manager,2,Married,18942,6,No,14,2,1,1,5,2,1,2,14,10,5,No
20,Frequently,Research & Development,13,1,Life Sciences,4,Female,3,Human Resources,2,Divorced,4061,4,No,16,2,4,2,20,2,1,14,3,2,3,No
29,Rarely,Research & Development,24,3,Technical Degree,1,Female,5,Human Resources,4,Single,19156,9,No,19,2,4,2,26,0,4,16,0,10,9,No
28,Rarely,Human Resources,15,1,Life Sciences,3,Female,2,Sales Executive,4,Married,10732,3,No,23,4,3,1,32,5,1,33,14,10,2,Yes
18,Rarely,Human Resources,20,4,Marketing,4,Male,4,Sales Executive,1,Single,3427,5,No,24,2,1,1,36,1,1,16,12,9,14,No
55,Frequently,Human Resources,23,1,Life Sciences,4,Female,1,Laboratory Technician,1,Married,4966,7,No,10,1,1,0,3,2,3,12,13,7,16,No
46,Non-Travel,Human Resources,10,3,Marketing,3,Female,1,Human Resources,1,Single,17673,7,Yes,13,1,4,1,34,4,4,25,0,5,12,No
43,Frequently,Sales,22,2,Other,1,Male,5,Human Resources,2,Divorced,15990,8,No,16,1,1,1,38,4,4,1,2,4,0,Yes
43,Rarely,Sales,11,4,Other,1,Female,4,Sales Executive,2,Married,9758,6,Yes,18,3,3,2,37,3,1,8,12,9,17,No
26,Non-Travel,Research & Development,25,3,Marketing,3,Female,4,Manager,3,Single,18336,7,No,12,4,2,1,27,2,2,3,7,14,10,No
29,Rarely,Human Resources,27,1,Technical Degree,3,Male,5,Laboratory Technician,2,Divorced,1037,9,Yes,13,4,1,2,32,1,2,17,8,10,13,No
43,Frequently,Research & Development,27,3,Life Sciences,3,Male,4,Laboratory Technician,4,Divorced,17018,5,Yes,24,2,1,2,27,4,3,2,15,2,10,No
25,Frequently,Sales,15,1,Medical,3,Female,4,Human Resources,3,Married,13919,5,Yes,24,2,1,0,1,3,2,18,15,2,4,No
54,Rarely,Research & Development,5,3,Marketing,1,Male,5,Research Scientist,2,Single,16506,9,Yes,23,2,3,1,12,1,1,20,4,11,18,No
22,Rarely,Human Resources,19,2,Other,4,Male,3,Laboratory Technician,3,Single,4006,5,Yes,23,4,3,1,37,4,3,12,10,5,12,No
45,Non-Travel,Sales,2,4,Medical,4,Female,4,Laboratory Technician,2,Divorced,18684,8,Yes,21,3,3,2,1,1,3,21,1,5,6,No
18,Frequently,Human Resources,29,1,Technical Degree,4,Male,2,Human Resources,4,Married,15980,0,Yes,16,3,1,2,28,5,1,20,7,8,18,No
25,Non-Travel,Sales,24,3,Technical Degree,3,Female,4,Manager,2,Married,7659,7,Yes,23,2,2,1,6,0,4,15,16,13,11,No
28,Non-Travel,Human Resources,14,3,Medical,3,Female,3,Human Resources,3,Single,3629,5,Yes,19,3,3,1,34,1,4,18,5,5,0,No
35,Rarely,Human Resources,8,1,Technical Degree,3,Male,2,Human Resources,4,Married,12172,0,No,23,3,4,1,35,0,2,13,19,5,12,No
26,Non-Travel,Human Resources,27,3,Life Sciences,2,Male,1,Human Resources,1,Married,3829,5,No,19,2,4,2,36,5,3,25,12,9,13,No
32,Non-Travel,Sales,2,4,Medical,4,Male,3,Sales Executive,1,Divorced,15093,8,No,14,1,2,0,35,3,1,16,6,11,19,No
33,Non-Travel,Sales,10,2,Other,4,Male,3,Human Resources,3,Divorced,12089,5,No,23,2,2,2,19,4,1,28,7,10,12,No
37,Non-Travel,Research & Development,26,1,Technical Degree,2,Female,3,Sales Executive,4,Divorced,17277,7,Yes,10,2,2,1,32,4,1,13,1,10,2,No
58,Non-Travel,Sales,20,1,Life Sciences,3,Female,5,Manager,4,Married,15972,2,Yes,23,2,1,1,10,4,1,22,1,2,7,Yes
48,Frequently,Sales,27,2,Other,3,Female,2,Research Scientist,3,Divorced,13559,5,Yes,19,4,3,0,11,1,1,22,16,3,15,No
55,Frequently,Research & Development,19,4,Medical,3,Female,1,Laboratory Technician,3,Divorced,17108,2,No,11,1,2,2,38,1,4,3,15,2,3,No
18,Frequently,Research & Development,12,4,Other,3,Male,4,Sales Executive,1,Divorced,7566,5,No,19,4,4,0,27,4,2,5,14,14,11,No
40,Frequently,Human Resources,15,4,Technical Degree,4,Female,4,Research Scientist,1,Divorced,15554,2,Yes,13,2,3,2,4,1,1,15,13,12,0,No
22,Non-Travel,Human Resources,10,4,Life Sciences,3,Female,5,Human Resources,1,Single,3589,2,Yes,10,4,2,2,30,3,2,14,9,3,8,No
35,Rarely,Research & Development,11,3,Life Sciences,2,Male,4,Research Scientist,2,Married,11404,0,No,13,3,2,0,23,3,4,8,15,1,3,No
19,Non-Travel,Sales,10,3,Life Sciences,4,Male,5,Manager,4,Divorced,1413,4,No,24,4,2,2,14,4,4,12,7,12,4,No
18,Frequently,Research & Development,29,2,Life Sciences,2,Female,5,Sales Executive,3,Single,18094,7,Yes,23,1,2,1,32,5,2,4,4,7,5,No
52,Non-Travel,Human Resources,20,1,Technical Degree,4,Male,2,Manager,2,Single,11131,0,Yes,11,2,2,0,6,3,2,21,0,5,5,No
20,Non-Travel,Research & Development,11,4,Life Sciences,3,Male,3,Human Resources,4,Divorced,11666,2,Yes,24,3,2,1,13,3,4,30,13,5,2,No
48,Rarely,Sales,20,4,Medical,4,Male,1,Research Scientist,2,Married,18458,1,Yes,15,4,4,2,0,5,1,23,0,1,7,Yes
21,Frequently,Human Resources,2,4,Technical Degree,3,Male,5,Human Resources,1,Single,7558,3,No,10,2,1,0,28,5,1,17,0,9,13,Yes
35,Frequently,Human Resources,21,3,Technical Degree,1,Male,3,Research Scientist,4,Married,18829,5,Yes,18,3,3,1,25,1,2,11,3,2,8,No
54,Non-Travel,Sales,18,2,Marketing,4,Female,3,Laboratory Technician,4,Married,12371,5,Yes,13,4,2,1,9,1,4,13,1,5,14,No
22,Frequently,Research & Development,27,3,Life Sciences,3,Female,1,Research Scientist,1,Single,6054,2,Yes,12,1,3,2,11,2,1,6,4,10,16,Yes
19,Frequently,Human Resources,17,1,Marketing,2,Male,2,Sales Executive,1,Married,19182,5,No,11,1,2,1,19,2,1,23,14,12,8,No
33,Frequently,Human Resources,3,1,Other,2,Female,1,Research Scientist,3,Single,2971,8,No,22,2,3,0,3,2,3,3,8,4,8,No
43,Non-Travel,Sales,8,2,Technical Degree,2,Male,1,Sales Executive,3,Married,17139,7,Yes,12,2,4,2,20,2,3,31,16,12,19,Yes
55,Rarely,Research & Development,14,2,Other,4,Male,3,Research Scientist,2,Divorced,16324,8,Yes,16,2,1,2,27,1,3,4,8,3,8,No
23,Frequently,Research & Development,28,3,Life Sciences,1,Female,5,Human Resources,4,Married,12182,7,No,13,4,1,1,7,5,3,15,15,11,3,No
55,Frequently,Human Resources,15,1,Technical Degree,3,Male,5,Laboratory Technician,1,Married,15226,5,No,16,4,4,1,23,3,4,8,4,2,2,No
56,Rarely,Sales,25,3,Marketing,2,Female,5,Laboratory Technician,1,Divorced,3928,5,Yes,14,4,3,1,36,1,3,25,19,10,15,No
30,Non-Travel,Human Resources,29,2,Technical Degree,4,Female,1,Sales Executive,4,Married,7259,7,No,17,2,3,2,34,2,3,20,12,4,17,No
58,Frequently,Human Resources,20,4,Other,4,Female,4,Sales Executive,2,Divorced,18594,7,Yes,22,3,1,1,25,2,2,15,19,9,19,No
30,Non-Travel,Research & Development,20,4,Life Sciences,4,Female,1,Sales Executive,1,Single,13398,9,Yes,10,2,4,2,32,2,2,3,3,6,4,Yes
35,Rarely,Sales,19,2,Medical,3,Male,1,Sales Executive,1,Married,3670,9,Yes,11,1,4,1,33,1,3,15,19,5,12,No
30,Frequently,Sales,15,3,Marketing,3,Male,5,Sales Executive,2,Divorced,14492,9,Yes,17,3,3,0,10,3,4,4,10,13,11,No
23,Frequently,Research & Development,5,2,Life Sciences,2,Female,1,Research Scientist,1,Divorced,18387,2,Yes,21,1,4,0,23,5,1,12,10,11,14,No
45,Rarely,Sales,23,1,Marketing,3,Female,2,Human Resources,1,Divorced,18800,4,No,17,1,4,0,25,5,2,27,4,8,2,No
34,Frequently,Sales,14,4,Marketing,1,Male,4,Manager,3,Divorced,4716,9,No,19,3,2,2,28,4,2,2,15,4,12,No
55,Non-Travel,Research & Development,11,1,Other,1,Male,5,Human Resources,4,Married,4936,9,No,11,2,2,2,33,0,3,1,17,7,13,No
29,Non-Travel,Sales,2,2,Technical Degree,3,Female,4,Sales Executive,1,Married,16554,5,No,14,4,1,2,16,4,4,26,13,14,7,No
30,Frequently,Research & Development,12,3,Other,3,Male,2,Research Scientist,2,Married,18897,5,Yes,20,3,4,1,27,2,4,3,9,3,14,No
56,Rarely,Sales,28,1,Life Sciences,2,Female,3,Research Scientist,1,Divorced,1016,3,Yes,19,4,4,1,8,1,4,29,2,11,2,No
29,Rarely,Sales,13,4,Other,2,Male,5,Research Scientist,2,Married,13572,4,Yes,14,1,2,2,26,5,3,12,7,8,4,No
44,Rarely,Human Resources,14,4,Medical,3,Female,1,Laboratory Technician,3,Single,16429,9,Yes,19,4,4,1,4,4,4,15,11,2,18,No
21,Rarely,Human Resources,20,3,Medical,2,Male,1,Sales Executive,4,Married,1366,7,No,13,4,2,2,28,1,3,27,0,5,17,No
18,Rarely,Research & Development,11,1,Medical,3,Male,4,Sales Executive,3,Married,8121,1,No,22,3,3,1,5,4,2,17,3,0,5,No
43,Frequently,Human Resources,21,3,Technical Degree,4,Male,2,Sales Executive,3,Single,16064,2,No,24,4,4,1,2,5,1,18,19,9,18,No
34,Non-Travel,Human Resources,29,4,Marketing,4,Female,4,Research Scientist,3,Single,1751,4,No,20,2,2,0,11,4,3,30,12,0,18,No
26,Frequently,Research & Development,3,3,Marketing,3,Female,3,Human Resources,4,Married,7327,7,No,12,1,3,2,14,4,3,33,7,11,5,No
35,Frequently,Human Resources,8,3,Life Sciences,1,Male,3,Sales Executive,1,Married,12820,5,Yes,23,2,4,1,19,2,1,4,2,9,0,No
25,Rarely,Human Resources,28,1,Technical Degree,3,Male,2,Laboratory Technician,4,Married,17208,0,No,11,2,4,1,28,0,4,14,8,7,6,No
28,Frequently,Sales,28,4,Other,3,Female,2,Human Resources,2,Divorced,16691,1,No,11,3,2,0,3,3,3,0,1,3,0,No
40,Non-Travel,Human Resources,13,2,Technical Degree,2,Male,3,Human Resources,4,Divorced,15574,5,No,17,4,4,0,16,4,2,33,7,8,9,No
35,Frequently,Human Resources,19,2,Life Sciences,3,Male,2,Manager,4,Divorced,2995,5,No,24,1,1,2,3,4,2,0,14,2,10,No
43,Rarely,Sales,13,4,Technical Degree,2,Female,2,Research Scientist,2,Divorced,5928,6,No,18,2,4,0,33,5,3,21,1,10,11,No
37,Rarely,Research & Development,8,2,Medical,3,Female,3,Sales Executive,4,Married,7124,5,No,22,2,1,0,35,1,2,16,0,8,14,No
51,Non-Travel,Sales,29,2,Technical Degree,4,Male,1,Laboratory Technician,1,Divorced,6257,4,No,24,2,3,1,1,0,2,30,2,10,11,No
46,Rarely,Sales,12,3,Other,4,Male,2,Human Resources,2,Single,8837,8,No,14,2,4,1,5,5,3,33,9,5,10,No
49,Non-Travel,Human Resources,7,4,Medical,2,Male,4,Sales Executive,4,Married,2979,2,No,11,3,3,0,24,3,1,13,16,13,2,Yes
56,Rarely,Sales,6,1,Other,4,Female,1,Human Resources,3,Married,8115,1,Yes,10,1,4,0,3,4,2,7,15,1,14,No
28,Frequently,Sales,22,1,Other,4,Male,5,Sales Executive,2,Single,19091,5,No,21,4,4,2,5,0,1,27,1,1,6,No
37,Rarely,Research & Development,25,3,Marketing,3,Female,2,Laboratory Technician,3,Single,9741,6,No,10,2,3,1,37,0,3,25,8,12,7,No
